_id,service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
667120642826b4ff2d79c7c5,CV,50.86016654968262,5,480,2024-06-18 13:51:32.827,Laptop,41.7,62.67916536436066,21.0,0.0
667120652826b4ff2d79c7c6,CV,43.93434524536133,5,480,2024-06-18 13:51:33.027,Laptop,38.4,62.69000153328105,21.0,0.0
667120652826b4ff2d79c7c7,CV,46.25391960144043,5,480,2024-06-18 13:51:33.236,Laptop,38.4,62.69077554534679,21.0,0.0
667120652826b4ff2d79c7c8,CV,44.450998306274414,5,480,2024-06-18 13:51:33.442,Laptop,38.0,62.69077554534679,21.0,0.0
667120652826b4ff2d79c7c9,CV,65.51837921142578,5,480,2024-06-18 13:51:33.669,Laptop,40.9,62.69077554534679,21.0,0.0
667120652826b4ff2d79c7ca,CV,40.354013442993164,5,480,2024-06-18 13:51:33.848,Laptop,41.3,62.67952165562901,21.0,0.0
667120662826b4ff2d79c7cb,CV,66.36929512023926,5,480,2024-06-18 13:51:34.080,Laptop,38.9,62.62483708888902,21.0,0.0
667120662826b4ff2d79c7cc,CV,38.73443603515625,5,480,2024-06-18 13:51:34.259,Laptop,37.2,62.627048551933996,21.0,0.0
667120662826b4ff2d79c7cd,CV,39.94464874267578,5,480,2024-06-18 13:51:34.467,Laptop,33.2,62.62937058813123,21.0,0.0
667120662826b4ff2d79c7ce,CV,44.68083381652832,5,480,2024-06-18 13:51:34.680,Laptop,31.8,62.63872016244916,20.0,0.0
667120662826b4ff2d79c7cf,CV,42.79279708862305,5,480,2024-06-18 13:51:34.884,Laptop,35.0,62.6394941745149,21.0,0.0
667120672826b4ff2d79c7d0,CV,40.86804389953613,5,480,2024-06-18 13:51:35.088,Laptop,34.5,62.6394941745149,21.0,0.0
667120672826b4ff2d79c7d1,CV,63.671112060546875,5,480,2024-06-18 13:51:35.321,Laptop,38.2,62.64026818658065,21.0,0.0
667120672826b4ff2d79c7d2,CV,35.36391258239746,5,480,2024-06-18 13:51:35.500,Laptop,34.8,62.64026818658065,21.0,0.0
667120672826b4ff2d79c7d3,CV,38.38944435119629,5,480,2024-06-18 13:51:35.710,Laptop,30.8,62.62373135736653,20.0,0.0
667120672826b4ff2d79c7d4,CV,40.044307708740234,5,480,2024-06-18 13:51:35.919,Laptop,31.2,62.62373135736653,20.0,0.0
667120682826b4ff2d79c7d5,CV,61.63358688354492,5,480,2024-06-18 13:51:36.146,Laptop,39.0,62.65014605484821,21.0,0.0
667120682826b4ff2d79c7d6,CV,40.4050350189209,5,480,2024-06-18 13:51:36.332,Laptop,35.4,62.650932352819765,21.0,0.0
667120682826b4ff2d79c7d7,CV,62.044620513916016,5,480,2024-06-18 13:51:36.560,Laptop,41.8,62.706648935647415,21.0,0.0
667120682826b4ff2d79c7d8,CV,41.49055480957031,5,480,2024-06-18 13:51:36.746,Laptop,36.5,62.7066366497416,21.0,0.0
667120682826b4ff2d79c7d9,CV,41.82863235473633,5,480,2024-06-18 13:51:36.953,Laptop,34.6,62.7066366497416,21.0,0.0
667120692826b4ff2d79c7da,CV,69.68092918395996,5,480,2024-06-18 13:51:37.187,Laptop,39.7,62.70930269130138,21.0,0.0
667120692826b4ff2d79c7db,CV,40.04693031311035,5,480,2024-06-18 13:51:37.365,Laptop,38.8,62.710273277860004,21.0,0.0
667120692826b4ff2d79c7dc,CV,65.45281410217285,5,480,2024-06-18 13:51:37.597,Laptop,39.4,62.7102609919542,21.0,0.0
667120692826b4ff2d79c7dd,CV,39.47257995605469,5,480,2024-06-18 13:51:37.779,Laptop,34.9,62.71177215836828,21.0,0.0
667120692826b4ff2d79c7de,CV,39.55531120300293,5,480,2024-06-18 13:51:37.985,Laptop,32.5,62.711759872462466,21.0,0.0
